Sun, 24 Sep 2017 12:22:47 INFO Get char: 0
Sun, 24 Sep 2017 12:23:06 INFO -- username: 无伴奏22, id: 2719387961
Sun, 24 Sep 2017 12:23:06 INFO -- username: 叮叮丫297, id: 1771530545
Sun, 24 Sep 2017 12:23:06 INFO -- username: 用户6264239587, id: 6264239587
Sun, 24 Sep 2017 12:23:06 INFO -- username: 劉恩惠520, id: 2901474143
Sun, 24 Sep 2017 12:23:06 INFO -- username: hong200212, id: 5925496914
Sun, 24 Sep 2017 12:23:06 INFO -- username: 遇见爱情2010, id: 1869403812
Sun, 24 Sep 2017 12:23:06 INFO -- username: 彩色咖啡2012, id: 2033207105
Sun, 24 Sep 2017 12:23:06 INFO -- username: 晴耕雨读2014, id: 6097095424
Sun, 24 Sep 2017 12:23:06 INFO -- username: 玉净花明2012, id: 2722097193
Sun, 24 Sep 2017 12:23:06 INFO -- username: 深海科技23501, id: 6070869523
Sun, 24 Sep 2017 12:23:06 INFO -- username: 蒙奇D琳201702, id: 6136567152
Sun, 24 Sep 2017 12:23:06 INFO -- username: 用户6322911365, id: 6322911365
Sun, 24 Sep 2017 12:23:06 INFO -- username: 用户6025016123, id: 6025016123
Sun, 24 Sep 2017 12:23:06 INFO -- username: 用户5424525971, id: 5424525971
Sun, 24 Sep 2017 12:23:06 INFO -- username: 用户5626103661, id: 5626103661
Sun, 24 Sep 2017 12:23:06 INFO -- username: 吃汤圆12041990, id: 2645236147
Sun, 24 Sep 2017 12:23:06 INFO -- username: 手机用户2005224075_161, id: 2005224075
Sun, 24 Sep 2017 12:23:06 INFO -- username: 我爱高数233, id: 5393399269
Sun, 24 Sep 2017 12:23:06 INFO -- username: 英飞43244, id: 5446886280
Sun, 24 Sep 2017 12:23:06 INFO -- username: 用户6323435858, id: 6323435858
Sun, 24 Sep 2017 12:23:06 INFO -- username: 用户5823626449, id: 5823626449
Sun, 24 Sep 2017 12:23:06 INFO -- username: DASHU24, id: 3418848800
Sun, 24 Sep 2017 12:23:06 INFO -- username: Joyce2286, id: 2139814643
Sun, 24 Sep 2017 12:23:06 INFO -- username: 小麦色1023, id: 3551117167
Sun, 24 Sep 2017 12:23:06 INFO -- username: 颜小沫沫520, id: 5453076579
Sun, 24 Sep 2017 12:23:06 INFO -- username: 用户6372948166, id: 6372948166
Sun, 24 Sep 2017 12:23:06 INFO -- username: 用户5192272664, id: 5192272664
